path,is_gun,clip_size,bullet_type,damage,range,rpm,automatic
gun/draco1.glb,1,30,7.62x39,38,120,600,1
gun/draco2.glb,1,30,7.62x39,38,120,600,1
gun/mp5-mini.glb,1,30,9mm,22,80,700,1
gun/uzi1.glb,1,25,9mm,20,60,900,1
gun/revolver1.glb,1,6,.357,45,60,150,0
gun/revolver2.glb,1,6,.357,45,60,150,0
gun/skorpion1.glb,1,20,7.65mm,18,50,900,1
gun/uzi2.glb,1,25,9mm,20,60,900,1
gun/revolver3.glb,1,6,.44,55,70,150,0
gun/mp5-mini-2.glb,1,30,9mm,22,80,700,1
gun/ak47.glb,1,30,7.62x39,42,150,600,1
gun/pistol8-luger.glb,1,8,9mm,26,50,400,0
gun/pistol7-tt.glb,1,8,7.62x25,28,55,400,0
gun/pistol6-breta.glb,1,15,9mm,25,50,400,0
gun/pistol5-1911.glb,1,7,.45,35,45,400,0
gun/pistol4-cz.glb,1,16,9mm,25,50,400,0
gun/pistol3-fallout.glb,1,12,10mm,30,55,400,0
gun/pistol2-glock.glb,1,17,9mm,24,50,400,0
gun/pistol1-cv.glb,1,8,9mm,24,45,400,0
melee/machete2.glb,0,0,0,0,0,90,0
melee/axe1.glb,0,0,0,0,0,90,0
melee/machete1.glb,0,0,0,0,0,90,0
melee/axe2-fire.glb,0,0,0,0,0,90,0
melee/axe3-medieval.glb,0,0,0,0,0,90,0
melee/dagger1.glb,0,0,0,0,0,140,0
melee/hammer1.glb,0,0,0,0,0,60,0
melee/hammer2.glb,0,0,0,0,0,60,0
melee/lightsaber1.glb,0,0,0,0,0,110,0
melee/lightsaber2.glb,0,0,0,0,0,110,0
melee/lightsaber3.glb,0,0,0,0,0,110,0
melee/knife1.glb,0,0,0,0,0,140,0
melee/knife2.glb,0,0,0,0,0,140,0
melee/hammer3.glb,0,0,0,0,0,60,0
melee/screwdriver.glb,0,0,0,0,0,140,0
